Timestamp,Gender,Age,How Long Have You use E-Transaction?,What e-wallet platform you used the most?,How much do you spend by using e-transaction platform per week?,I frequently use e-wallet platform in my daily life,The e-wallet platform that I used is convenient ,The e-wallet platform that I used is secure.,The provided service of e-wallet platform that I used is good.,I more prefer to use e-wallet platform compare to cash.,The e-wallet platform had make make my daily transaction more efficient.,The e-wallet platform had make paperless money transaction easier.,I will use e-wallet platform for my transaction in the future
1/31/2022 12:27:16,Female,24 Years Old and above,1 Years,Shopee Pay,RM 0 - 99,3,4,4,4,4,4,4,4
1/31/2022 12:29:26,Female,22 - 23 Years Old,3 Years,Touch N Go e wallet,RM 200 - 299,5,5,4,4,5,4,4,5
1/31/2022 12:30:00,Male,18 - 19 Years Old,1 Years,Grab Pay,RM 100 - 199,4,4,4,5,5,4,4,4
1/31/2022 12:30:46,Male,24 Years Old and above,3 Years,Touch N Go e wallet,RM 300 - 399,5,5,4,4,4,5,4,5
1/31/2022 12:32:20,Male,22 - 23 Years Old,3 Years,Touch N Go e wallet,RM 0 - 99,4,4,4,4,4,4,4,5
1/31/2022 12:44:15,Male,20 - 21 Years Old,2 Years,Shopee Pay,RM 0 - 99,4,4,4,4,4,4,4,4
1/31/2022 12:44:25,Male,20 - 21 Years Old,2 Years,Touch N Go e wallet,RM 0 - 99,2,4,5,4,3,4,4,4
1/31/2022 12:54:41,Female,18 - 19 Years Old,5 Years,Touch N Go e wallet,RM 300 - 399,4,4,4,4,3,4,5,5
1/31/2022 13:22:56,Female,22 - 23 Years Old,3 Years,Shopee Pay,RM 100 - 199,5,5,4,4,5,5,5,5
1/31/2022 13:29:48,Male,22 - 23 Years Old,3 Years,DuitNow,RM 100 - 199,4,4,3,4,5,5,4,5
1/31/2022 13:30:13,Male,24 Years Old and above,2 Years,Touch N Go e wallet,RM 300 - 399,4,5,4,5,5,5,5,5
1/31/2022 13:34:11,Female,24 Years Old and above,5 Years,Grab Pay,RM 300 - 399,5,5,5,5,5,5,5,5
1/31/2022 13:34:45,Male,22 - 23 Years Old,4 Years,Touch N Go e wallet,RM 200 - 299,4,4,4,5,5,4,4,5
1/31/2022 13:35:35,Female,18 - 19 Years Old,1 Years,Shopee Pay,RM 0 - 99,2,3,2,3,2,2,2,3
1/31/2022 13:57:05,Female,20 - 21 Years Old,1 Years,DuitNow,RM 0 - 99,4,4,5,5,3,4,4,3
1/31/2022 14:00:01,Male,22 - 23 Years Old,5 Years,Shopee Pay,RM 0 - 99,4,4,4,4,5,5,5,5
1/31/2022 14:04:06,Male,22 - 23 Years Old,2 Years,Shopee Pay,RM 100 - 199,5,5,5,5,5,5,5,5
1/31/2022 14:06:09,Male,22 - 23 Years Old,5 Years,Touch N Go e wallet,RM 0 - 99,3,5,5,4,2,3,4,5
1/31/2022 14:10:39,Male,22 - 23 Years Old,5 Years,Shopee Pay,RM 0 - 99,4,4,4,4,4,4,4,4
1/31/2022 14:14:27,Male,22 - 23 Years Old,2 Years,Grab Pay,RM 100 - 199,3,4,4,4,5,4,4,5
1/31/2022 14:15:38,Female,22 - 23 Years Old,3 Years,Touch N Go e wallet,RM 100 - 199,4,4,2,3,3,3,3,5
1/31/2022 14:16:18,Female,24 Years Old and above,4 Years,DuitNow,RM 200 - 299,4,5,4,5,5,5,5,5
1/31/2022 14:17:10,Female,22 - 23 Years Old,2 Years,Shopee Pay,RM 0 - 99,5,5,5,5,5,5,5,5
1/31/2022 14:30:37,Male,22 - 23 Years Old,3 Years,Shopee Pay,RM 300 - 399,4,4,4,4,4,4,4,4
1/31/2022 14:37:42,Male,20 - 21 Years Old,1 Years,Touch N Go e wallet,RM 0 - 99,3,4,5,4,3,4,4,4
1/31/2022 15:33:07,Female,22 - 23 Years Old,3 Years,Shopee Pay,RM 100 - 199,5,5,5,5,5,5,5,5
1/31/2022 15:48:47,Female,22 - 23 Years Old,3 Years,Shopee Pay,RM 0 - 99,3,4,4,4,4,3,4,4
1/31/2022 15:49:16,Female,24 Years Old and above,1 Years,Touch N Go e wallet,RM 100 - 199,4,4,3,4,4,4,4,5
1/31/2022 15:50:00,Female,18 - 19 Years Old,1 Years,Shopee Pay,RM 0 - 99,3,4,3,4,3,4,3,4
1/31/2022 15:51:26,Male,22 - 23 Years Old,2 Years,DuitNow,RM 0 - 99,4,4,5,3,2,4,5,3